"idencuesta","c11_w01","c11_w03","c43_w05","c08_01_w01","c08_02_w01","c08_03_w01","c08_04_w01","c08_01_w02","c08_02_w02","c08_03_w02","c08_04_w02","c08_01_w03","c08_02_w03","c08_03_w03","c08_04_w03","c08_01_w04","c08_02_w04","c08_03_w04","c08_04_w04","c08_05_w04","c08_02_w05","c08_04_w05","c08_05_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_3","class_part_4","class_part_5"
2101193,2,1,1,3,2,2,3,3,1,1,1,2,1,4,2,2,3,1,1,3,1,1,3,1,1,2,1,1,"2","2","1"
2101202,2,2,1,1,1,2,1,1,1,1,4,3,1,1,1,1,3,1,3,1,1,5,1,1,2,1,1,2,"3","3","2"
2101211,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,1,1,"2","2","4"
2101212,2,2,2,3,1,4,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,"1","4","5"
2101222,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,4,1,1,3,1,1,1,1,1,1,2,1,"1","3","2"
2101231,1,1,2,3,1,1,4,1,1,1,1,1,1,1,3,1,1,1,3,1,1,2,1,2,1,1,1,1,"2","2","1"
2101232,1,1,1,1,1,1,1,3,3,1,1,3,3,1,5,4,4,1,4,3,3,3,3,1,1,2,2,1,"3","1","1"
2101233,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
2101243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
2101251,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
2101255,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","2","4"
2101263,2,1,1,3,2,1,1,3,1,1,1,1,1,1,1,2,2,2,4,1,1,4,4,1,1,1,2,2,"3","1","1"
3101023,2,2,1,3,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,3,1,1,1,1,1,1,1,1,"1","4","5"
3101033,2,1,1,2,3,1,4,2,1,1,1,2,2,2,1,4,1,1,3,1,1,4,3,2,1,1,2,2,"3","1","3"
3101041,1,1,1,1,1,5,1,2,1,3,2,1,1,1,1,1,5,1,1,4,1,3,3,2,1,1,2,1,"3","1","1"
3101043,1,1,2,1,1,1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
3101061,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,"2","2","4"
3101062,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
3101082,1,1,1,2,1,2,3,3,1,3,4,1,2,2,3,1,1,1,1,1,1,4,1,1,2,1,1,2,"3","1","1"
3101093,1,1,1,3,2,1,2,2,2,2,3,2,1,1,2,3,3,2,3,2,3,2,2,1,1,1,1,1,"2","2","4"
3101102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
3101111,1,1,2,1,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,4,1,2,1,1,1,1,2,1,"2","2","1"
3101113,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,"1","4","5"
3101131,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,4,1,1,2,1,1,1,2,2,1,"3","1","1"
3101132,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
3101143,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,"1","4","5"
3101152,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
3101153,1,1,1,5,1,1,1,4,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,"2","2","1"
3101171,1,1,1,1,1,1,1,3,1,1,1,4,1,3,1,3,1,2,1,2,1,3,1,1,1,2,1,1,"2","2","1"
3101183,2,1,1,1,1,4,3,2,1,2,1,2,3,3,1,3,3,3,3,3,2,4,4,2,1,1,1,2,"3","1","1"
3101191,1,1,1,1,1,1,3,2,1,1,3,3,2,1,4,2,3,1,5,3,1,4,3,1,1,2,2,2,"3","1","3"
3101192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,"2","2","4"
3101202,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
3101203,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,3,4,1,1,3,1,1,1,1,1,1,2,1,"2","2","1"
3101211,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,3,1,1,1,1,1,"1","4","5"
3101213,2,1,2,3,3,3,1,1,1,3,1,1,1,1,1,3,4,1,3,1,4,3,1,1,1,1,2,2,"3","1","1"
