"idencuesta","c11_w01","c11_w03","c43_w05","c08_02_w01","c08_02_w02","c08_02_w03","c08_02_w04","c08_02_w05","estrato_disenno","segmento_disenno","ponderador02_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_4"
4106103,1,1,2,1,1,1,1,1,6,410610,0.20082038640976,1,1,1,1,1,"3"
4106111,2,2,2,1,1,1,1,1,6,410611,0.127505034208298,1,1,1,1,1,"1"
4106112,2,2,2,3,1,1,3,1,6,410611,0.0956287607550621,2,1,1,2,1,"4"
4106113,2,2,1,1,1,1,1,1,6,410611,0.0637525171041489,1,1,1,1,1,"1"
4204011,2,2,2,1,1,1,1,1,6,420401,0.106178052723408,1,1,1,1,1,"1"
4204021,1,1,1,1,1,1,1,1,6,420402,0.0735428929328918,1,1,1,1,1,"3"
4204023,2,1,2,3,1,1,1,2,6,420402,0.0530890226364136,2,1,1,1,1,"4"
4204031,2,2,2,1,2,1,1,2,6,420403,0.106178045272827,1,1,1,1,1,"1"
4204042,1,1,1,1,1,1,1,1,6,420404,0.0796335339546204,1,1,1,1,1,"3"
4204052,2,1,1,1,1,1,1,1,6,420405,0.106178045272827,1,1,1,1,1,"3"
4204063,1,2,1,1,1,1,1,1,6,420406,0.159267067909241,1,1,1,1,1,"1"
4204081,1,1,2,1,1,1,4,1,6,420408,0.159267067909241,1,1,1,2,1,"3"
4204082,2,2,2,3,1,1,1,1,6,420408,0.0796335339546204,2,1,1,1,1,"1"
4204091,1,1,1,1,1,1,1,1,6,420409,0.0530890226364136,1,1,1,1,1,"3"
4204093,2,1,1,1,1,1,1,1,6,420409,0.132722541689873,1,1,1,1,1,"3"
4204102,1,1,1,1,1,1,1,1,6,420410,0.0796335339546204,1,1,1,1,1,"3"
4204103,2,2,2,1,1,1,1,1,6,420410,0.165471494197845,1,1,1,1,1,"1"
4204113,2,1,1,1,1,1,1,1,6,420411,0.257400125265121,1,1,1,1,1,"3"
4301011,2,2,2,1,1,1,1,1,5,430101,0.350680768489838,1,1,1,1,1,"1"
4301022,2,2,2,1,1,1,1,1,5,430102,0.701361536979675,1,1,1,1,1,"1"
4301023,2,2,2,1,1,2,4,1,5,430102,0.701361536979675,1,1,1,2,1,"4"
4301033,2,2,2,1,1,1,1,1,5,430103,0.701361536979675,1,1,1,1,1,"1"
4301061,2,2,2,3,1,2,1,1,5,430106,0.647719025611877,2,1,1,1,1,"1"
4301071,2,2,2,1,1,1,2,1,5,430107,0.163120433688164,1,1,1,1,1,"1"
4301081,2,2,2,3,1,1,3,1,5,430108,0.46757435798645,2,1,1,2,1,"4"
4301082,2,1,2,1,1,1,1,1,5,430108,0.46757435798645,1,1,1,1,1,"3"
4301083,1,1,2,1,1,1,1,1,5,430108,0.233787178993225,1,1,1,1,1,"3"
4301091,2,2,2,1,1,1,3,3,5,430109,0.647719025611877,1,1,1,2,2,"4"
4301092,1,1,1,1,1,1,1,1,5,430109,0.701361536979675,1,1,1,1,1,"3"
4301122,1,1,1,1,1,1,1,1,5,430112,0.467574387788773,1,1,1,1,1,"3"
4301141,2,2,2,1,1,1,1,1,5,430114,0.70136159658432,1,1,1,1,1,"1"
4301143,1,1,1,1,1,1,1,1,5,430114,0.70136159658432,1,1,1,1,1,"3"
4301153,2,2,2,4,2,1,3,1,5,430115,0.9351487159729,2,1,1,2,1,"4"
4301162,2,2,2,1,1,1,1,1,5,430116,0.323859572410583,1,1,1,1,1,"1"
4301164,2,1,1,1,1,1,1,1,5,430116,0.467574387788773,1,1,1,1,1,"3"
4301171,2,1,1,1,1,1,1,1,5,430117,0.161929756402969,1,1,1,1,1,"3"
4301173,1,1,1,1,1,1,1,1,5,430117,0.584467887878418,1,1,1,1,1,"3"
4301182,2,2,2,1,1,1,1,1,5,430118,0.467574387788773,1,1,1,1,1,"1"
4301184,2,2,1,1,1,1,1,1,5,430118,0.187029764056206,1,1,1,1,1,"1"
4301201,2,2,2,2,1,1,2,1,5,430120,0.233787178993225,1,1,1,1,1,"1"
4301211,2,2,2,1,1,1,1,1,5,430121,0.701361536979675,1,1,1,1,1,"1"
4301213,2,2,2,1,1,1,1,1,5,430121,0.526021122932434,1,1,1,1,1,"1"
4301221,2,2,2,1,1,1,1,1,5,430122,0.701361536979675,1,1,1,1,1,"1"
4301223,1,2,1,1,1,1,2,1,5,430122,0.526021122932434,1,1,1,1,1,"1"
4301233,2,2,2,1,1,1,1,1,5,430123,0.526021122932434,1,1,1,1,1,"1"
4301251,2,2,1,1,1,1,1,1,5,430125,0.584467887878418,1,1,1,1,1,"1"
4301252,2,2,2,1,1,1,1,1,5,430125,0.46757435798645,1,1,1,1,1,"1"
5101014,2,2,2,4,4,1,3,1,2,510101,4.69466400146484,2,2,1,2,1,"4"
5101015,2,2,2,1,1,1,1,1,2,510101,4.69466400146484,1,1,1,1,1,"1"
5101021,1,2,2,3,1,1,3,1,2,510102,1.37572586536407,2,1,1,2,1,"4"
5101035,1,2,2,1,1,1,1,1,2,510103,0.0972260907292366,1,1,1,1,1,"1"
5101053,1,1,2,1,1,1,1,1,2,510105,0.687862992286682,1,1,1,1,1,"3"
5101055,1,1,2,1,1,1,1,1,2,510105,0.515897154808044,1,1,1,1,1,"3"
5101062,2,2,2,1,1,1,1,1,2,510106,1.0317941904068,1,1,1,1,1,"1"
5101064,1,2,1,1,1,1,1,1,2,510106,0.291678220033646,1,1,1,1,1,"1"
5101066,2,2,2,1,1,1,1,1,2,510106,0.437517315149307,1,1,1,1,1,"1"
5101067,2,2,2,1,2,1,1,1,2,510106,0.291678220033646,1,1,1,1,1,"1"
5101072,2,2,2,1,1,1,2,1,2,510107,0.447110831737518,1,1,1,1,1,"1"
5101074,2,2,2,2,1,1,2,1,2,510107,1.3413325548172,1,1,1,1,1,"1"
5101075,1,2,2,3,1,1,1,1,2,510107,0.50557553768158,2,1,1,1,1,"4"
5101094,1,1,1,1,1,1,1,1,2,510109,0.505575597286224,1,1,1,1,1,"3"
5101095,1,2,1,1,1,1,1,1,2,510109,0.505575597286224,1,1,1,1,1,"1"
5101103,2,2,1,1,1,1,1,1,2,510110,0.343931496143341,1,1,1,1,1,"1"
5101105,1,2,2,1,1,1,1,1,2,510110,0.515897214412689,1,1,1,1,1,"1"
5101112,2,1,2,1,1,1,1,1,2,510111,0.337050408124924,1,1,1,1,1,"3"
5101117,2,2,2,1,1,1,3,4,2,510111,1.34820163249969,1,1,1,2,2,"4"
5101123,2,1,1,1,1,1,1,1,2,510112,0.337050408124924,1,1,1,1,1,"3"
5101125,2,2,1,1,1,1,1,1,2,510112,1.68525195121765,1,1,1,1,1,"1"
5101126,1,1,1,1,1,1,1,1,2,510112,1.34820163249969,1,1,1,1,1,"3"
5101131,2,1,1,1,1,1,1,1,2,510113,1.26393902301788,1,1,1,1,1,"3"
5101132,1,1,2,1,1,1,1,2,2,510113,1.68525195121765,1,1,1,1,1,"3"
5101136,2,2,2,1,1,1,1,1,2,510113,0.842625975608826,1,1,1,1,1,"1"
5101145,1,1,1,1,3,1,1,1,2,510114,1.78844368457794,1,2,1,1,1,"3"
5101151,2,2,2,1,1,1,1,1,2,510115,1.57992362976074,1,1,1,1,1,"1"
5101153,2,2,2,1,1,1,1,1,2,510115,0.94795423746109,1,1,1,1,1,"1"
5101154,1,1,1,1,1,1,1,1,2,510115,0.94795423746109,1,1,1,1,1,"3"
5101155,2,2,2,1,1,1,1,1,2,510115,1.11777722835541,1,1,1,1,1,"1"
5101161,2,2,2,3,3,3,4,3,2,510116,1.13754522800446,2,2,2,2,2,"2"
5101162,2,2,2,1,1,1,1,1,2,510116,0.758363425731659,1,1,1,1,1,"1"
5101174,2,2,2,1,1,1,1,1,2,510117,1.51672685146332,1,1,1,1,1,"1"
5101182,1,2,2,2,1,1,4,1,2,510118,2.01199913024902,1,1,1,2,1,"4"
5101196,1,1,2,1,1,2,2,2,2,510119,0.789961814880371,1,1,1,1,1,"3"
5101197,2,2,2,1,1,1,2,1,2,510119,1.05328249931335,1,1,1,1,1,"1"
5101201,1,2,1,1,1,1,1,1,2,510120,0.86938214302063,1,1,1,1,1,"1"
5101204,2,2,1,1,1,1,1,1,2,510120,0.0983063504099846,1,1,1,1,1,"1"
5101205,1,2,2,1,1,4,4,4,2,510120,0.196612700819969,1,1,2,2,2,"4"
5101206,2,2,1,1,1,1,1,1,2,510120,0.521629273891449,1,1,1,1,1,"1"
5101207,1,1,1,1,1,2,1,1,2,510120,0.393225401639938,1,1,1,1,1,"3"
5101215,1,1,2,1,1,1,1,1,2,510121,0.388904273509979,1,1,1,1,1,"3"
5101221,2,2,1,1,1,1,1,1,2,510122,0.429914355278015,1,1,1,1,1,"1"
5101222,2,1,1,1,1,1,1,1,2,510122,1.71965742111206,1,1,1,1,1,"3"
5101224,2,2,2,1,2,1,3,1,2,510122,0.243065223097801,1,1,1,2,1,"4"
5101226,1,1,2,1,1,1,1,3,2,510122,0.607662975788116,1,1,1,1,2,"3"
5101251,1,1,2,1,3,2,4,1,5,510125,0.0208574235439301,1,2,1,2,1,"4"
5101252,2,2,2,1,1,1,1,1,5,510125,0.0156430657953024,1,1,1,1,1,"1"
5101253,1,2,2,1,1,1,1,1,5,510125,0.0156430657953024,1,1,1,1,1,"1"
5101261,2,2,2,2,1,3,3,3,5,510126,0.0056883879005909,1,1,2,2,2,"4"
5101291,2,2,2,1,4,1,1,1,5,510129,0.00754587585106492,1,2,1,1,1,"1"
5101303,2,2,2,2,1,1,2,2,5,510130,0.00426629139110446,1,1,1,1,1,"1"
5101341,1,1,1,1,1,1,1,1,5,510134,0.0260717794299126,1,1,1,1,1,"3"
5101343,2,2,2,1,3,1,1,1,5,510134,0.0276682078838348,1,2,1,1,1,"1"
5101362,1,1,1,1,2,1,1,1,5,510136,0.885019183158875,1,1,1,1,1,"3"
5101371,2,2,1,3,1,4,5,4,5,510137,0.03689094632864,2,1,2,2,2,"4"
5101372,2,2,1,1,1,1,1,1,5,510137,0.0312861353158951,1,1,1,1,1,"1"
5101403,1,1,2,1,1,1,1,1,5,510140,0.0276682078838348,1,1,1,1,1,"3"
5101404,2,2,2,1,2,1,3,1,5,510140,0.0208574235439301,1,1,1,2,1,"4"
5101422,1,2,2,1,1,1,1,1,5,510142,0.0056883879005909,1,1,1,1,1,"1"
5101443,2,2,2,1,1,1,1,1,5,510144,0.0100611671805382,1,1,1,1,1,"1"
5101462,1,1,2,1,2,1,3,1,5,510146,0.00426629092544317,1,1,1,2,1,"3"
5101463,2,2,2,1,2,1,1,1,5,510146,0.00426629092544317,1,1,1,1,1,"1"
5101465,2,2,1,1,3,1,1,1,5,510146,0.00503058359026909,1,2,1,1,1,"1"
5101472,1,1,1,1,1,1,1,1,5,510147,0.0156430676579475,1,1,1,1,1,"3"
5101481,2,2,1,1,1,1,2,1,2,510148,0.171965733170509,1,1,1,1,1,"1"
5101482,2,1,1,1,1,1,1,1,2,510148,0.194452166557312,1,1,1,1,1,"3"
5101484,1,1,2,1,1,1,1,1,2,510148,0.291678220033646,1,1,1,1,1,"3"
5101485,1,2,1,2,3,1,1,1,2,510148,0.171965733170509,1,2,1,1,1,"1"
5101486,2,2,2,1,1,1,1,1,2,510148,0.171965733170509,1,1,1,1,1,"1"
5101491,2,2,1,1,1,1,1,1,2,510149,1.083376288414,1,1,1,1,1,"1"
5101492,2,2,2,1,1,1,4,1,2,510149,1.89590859413147,1,1,1,2,1,"4"
5101494,1,2,2,1,1,2,3,1,2,510149,1.91618955135345,1,1,1,2,1,"4"
5101495,2,2,2,1,1,1,1,1,2,510149,1.91618955135345,1,1,1,1,1,"1"
5101501,2,1,1,1,1,1,1,1,2,510150,0.558888554573059,1,1,1,1,1,"3"
5101505,1,1,2,1,1,1,1,1,2,510150,1.11777710914612,1,1,1,1,1,"3"
5101507,2,2,2,1,1,1,1,1,2,510150,1.11777710914612,1,1,1,1,1,"1"
5101513,1,1,2,1,1,1,1,1,2,510151,0.48613029718399,1,1,1,1,1,"3"
5101514,1,1,1,1,1,1,1,1,2,510151,0.364597737789154,1,1,1,1,1,"3"
5101515,1,1,2,1,1,2,1,1,2,510151,0.364597737789154,1,1,1,1,1,"3"
5101521,2,2,1,1,3,1,1,1,2,510152,1.86296200752258,1,2,1,1,1,"1"
5101523,1,1,2,1,1,1,1,1,2,510152,2.23555445671082,1,1,1,1,1,"3"
5101525,2,1,2,1,1,1,1,1,2,510152,0.842626094818115,1,1,1,1,1,"3"
5101526,2,2,1,1,1,1,3,1,2,510152,0.372592449188232,1,1,1,2,1,"4"
5101531,1,1,2,1,1,1,3,2,2,510153,0.758363306522369,1,1,1,2,1,"3"
5101533,1,2,2,1,1,1,3,5,2,510153,1.01115119457245,1,1,1,2,2,"4"
5101536,1,1,2,1,1,1,3,3,2,510153,0.758363306522369,1,1,1,2,2,"4"
5103031,1,2,1,1,1,1,1,1,2,510303,0.596147835254669,1,1,1,1,1,"1"
5103033,1,2,2,1,1,1,1,1,2,510303,2.98073935508728,1,1,1,1,1,"1"
5103038,1,1,1,1,1,1,1,1,2,510303,1.68525195121765,1,1,1,1,1,"3"
5109013,2,2,2,1,1,1,1,1,2,510901,0.758363306522369,1,1,1,1,1,"1"
5109033,2,2,2,1,1,1,1,1,2,510903,0.515897154808044,1,1,1,1,1,"1"
5109034,2,2,1,4,1,1,3,1,2,510903,0.257948577404022,2,1,1,2,1,"4"
5109051,2,2,2,1,1,1,1,1,2,510905,0.894221842288971,1,1,1,1,1,"1"
5109052,1,1,1,1,1,2,1,1,2,510905,1.01115131378174,1,1,1,1,1,"3"
5109057,2,2,1,3,3,3,3,1,2,510905,0.505575656890869,2,2,2,2,1,"2"
5109103,1,1,1,1,1,1,1,1,2,510910,1.13754498958588,1,1,1,1,1,"3"
5109114,2,2,2,1,1,1,3,1,2,510911,1.34133267402649,1,1,1,2,1,"4"
5109115,2,2,2,4,1,1,1,1,2,510911,1.89590859413147,2,1,1,1,1,"1"
5109124,2,2,2,2,1,1,3,1,2,510912,1.3413325548172,1,1,1,2,1,"4"
5109125,2,2,2,1,1,1,3,2,2,510912,0.758363306522369,1,1,1,2,1,"4"
5109142,1,1,1,1,1,1,1,1,2,510914,0.687862932682037,1,1,1,1,1,"3"
5109151,1,1,2,1,1,1,1,1,2,510915,0.291678220033646,1,1,1,1,1,"3"
5109152,1,1,2,2,1,1,2,1,2,510915,0.291678220033646,1,1,1,1,1,"3"
5109153,2,1,2,1,1,1,1,1,2,510915,1.02087378501892,1,1,1,1,1,"3"
5109155,2,2,1,1,1,1,1,1,2,510915,1.28974306583405,1,1,1,1,1,"1"
5109176,2,2,2,4,3,2,4,1,2,510917,1.78844368457794,2,2,1,2,1,"4"
5109178,1,2,1,2,2,2,3,1,2,510917,7.58603620529175,1,1,1,2,1,"4"
5109202,1,2,2,1,1,1,2,2,2,510920,1.3413325548172,1,1,1,1,1,"1"
5109203,2,2,2,1,1,1,1,1,2,510920,1.26393890380859,1,1,1,1,1,"1"
5109226,2,1,2,1,1,1,1,1,2,510922,1.51672685146332,1,1,1,1,1,"3"
5109227,2,2,2,1,1,1,1,1,2,510922,1.34133267402649,1,1,1,1,1,"1"
5109241,2,2,2,1,1,1,1,1,2,510924,1.78844356536865,1,1,1,1,1,"1"
5109242,2,1,2,1,1,1,1,1,2,510924,1.01115119457245,1,1,1,1,1,"3"
5109254,1,1,1,1,1,1,1,1,2,510925,1.01115119457245,1,1,1,1,1,"3"
5109255,2,2,2,1,1,1,2,1,2,510925,0.674100816249847,1,1,1,1,1,"1"
5109261,2,2,2,1,1,1,1,1,2,510926,0.19445213675499,1,1,1,1,1,"1"
5109282,1,1,2,1,1,1,2,2,2,510928,1.87786567211151,1,1,1,1,1,"3"
5109284,2,2,2,1,1,2,1,1,2,510928,1.41561186313629,1,1,1,1,1,"1"
5109285,2,2,2,1,1,1,1,1,2,510928,1.76951467990875,1,1,1,1,1,"1"
5109286,2,2,2,1,2,1,2,1,2,510928,2.1234176158905,1,1,1,1,1,"1"
5109293,1,1,1,1,1,1,1,1,2,510929,1.01115119457245,1,1,1,1,1,"3"
5109294,1,2,1,1,1,1,1,1,2,510929,2.38459134101868,1,1,1,1,1,"1"
5109295,2,2,2,1,1,1,2,1,2,510929,1.34820163249969,1,1,1,1,1,"1"
5109302,1,1,1,1,1,1,1,1,2,510930,4.03744220733643,1,1,1,1,1,"3"
5109303,2,2,1,1,1,1,1,1,2,510930,0.674100816249847,1,1,1,1,1,"1"
5109305,1,2,2,2,1,3,4,1,2,510930,1.34820163249969,1,1,2,2,1,"4"
5109314,2,2,1,1,1,1,1,1,2,510931,0.324086934328079,1,1,1,1,1,"1"
5109315,2,1,2,4,3,1,1,1,2,510931,0.486130356788635,2,2,1,1,1,"4"
5109324,2,2,2,1,1,3,1,1,2,510932,0.729195535182953,1,1,2,1,1,"1"
5109331,2,2,2,1,1,1,1,1,2,510933,0.315984755754471,1,1,1,1,1,"1"
5109333,1,2,2,1,1,1,1,1,2,510933,0.315984755754471,1,1,1,1,1,"1"
5109336,1,1,2,2,3,1,1,1,2,510933,0.315984755754471,1,2,1,1,1,"3"
5109337,1,2,1,1,1,1,1,1,2,510933,0.315984755754471,1,1,1,1,1,"1"
5109341,1,1,2,1,1,1,3,1,2,510934,0.983063757419586,1,1,1,2,1,"3"
5109342,1,1,2,2,1,1,1,1,2,510934,2.21189332008362,1,1,1,1,1,"3"
5109343,2,1,2,1,1,1,1,1,2,510934,0.737297773361206,1,1,1,1,1,"3"
5109344,1,1,1,1,1,1,1,1,2,510934,1.30407345294952,1,1,1,1,1,"3"
5109345,2,1,2,1,1,1,1,1,2,510934,0.737297773361206,1,1,1,1,1,"3"
5109346,1,2,2,1,1,2,3,1,2,510934,1.30407345294952,1,1,1,2,1,"4"
5109354,2,1,2,1,1,1,1,1,2,510935,1.49036967754364,1,1,1,1,1,"3"
5109363,2,2,2,1,1,1,1,1,2,510936,0.0972260907292366,1,1,1,1,1,"1"
5109372,2,1,1,1,1,1,1,1,2,510937,2.23555445671082,1,1,1,1,1,"3"
5109375,2,2,2,1,1,1,1,1,2,510937,3.15984725952148,1,1,1,1,1,"1"
5109381,1,2,2,1,1,1,1,1,2,510938,0.25278776884079,1,1,1,1,1,"1"
5109384,2,1,1,1,1,1,1,1,2,510938,0.25278776884079,1,1,1,1,1,"3"
5109392,1,1,2,1,1,1,3,1,2,510939,1.26393902301788,1,1,1,2,1,"3"
5109393,2,2,2,1,1,1,1,1,2,510939,1.11777722835541,1,1,1,1,1,"1"
5109394,1,2,2,4,1,1,4,1,2,510939,1.67666566371918,2,1,1,2,1,"4"
5109397,2,2,2,3,1,1,3,2,2,510939,1.26393902301788,2,1,1,2,1,"4"
5402011,2,2,2,1,1,1,4,4,6,540201,0.0153700308874249,1,1,1,2,2,"4"
5402021,2,2,2,1,1,1,1,1,6,540202,0.00179649703204632,1,1,1,1,1,"1"
5402023,2,1,1,1,2,2,1,1,6,540202,0.00299416179768741,1,1,1,1,1,"3"
5402032,2,2,2,1,1,1,3,3,6,540203,0.00179649714846164,1,1,1,2,2,"4"
5402041,2,2,2,1,1,2,1,1,6,540204,0.00635500019416213,1,1,1,1,1,"1"
5402051,1,2,2,1,1,1,1,1,6,540205,0.00439143693074584,1,1,1,1,1,"1"
5402053,2,2,2,1,1,3,1,1,6,540205,0.0194180589169264,1,1,2,1,1,"1"
5402071,2,2,2,1,1,1,1,1,6,540207,0.000598832324612886,1,1,1,1,1,"1"
5402073,2,2,2,1,1,1,1,1,6,540207,0.00359299359843135,1,1,1,1,1,"1"
5402081,2,2,2,1,1,1,1,1,6,540208,0.00479065952822566,1,1,1,1,1,"1"
5402101,2,1,1,1,1,1,1,1,6,540210,0.00299416179768741,1,1,1,1,1,"3"
5402103,2,1,2,1,1,1,1,1,6,540210,0.00179649679921567,1,1,1,1,1,"3"
5402111,2,1,1,2,1,1,3,1,6,540211,0.0233016703277826,1,1,1,2,1,"3"
5402113,1,1,1,2,1,1,1,1,6,540211,0.0174762532114983,1,1,1,1,1,"3"
5701032,2,2,2,1,1,1,1,1,5,570103,0.0159302614629269,1,1,1,1,1,"1"
5701042,2,2,2,1,1,1,1,1,5,570104,0.0270199794322252,1,1,1,1,1,"1"
5701043,2,2,2,1,1,1,1,1,5,570104,0.0238953903317451,1,1,1,1,1,"1"
5701063,2,1,2,1,1,1,1,1,5,570106,0.0424806997179985,1,1,1,1,1,"3"
5701122,2,2,2,1,1,1,1,1,5,570112,0.0110081406310201,1,1,1,1,1,"1"
5701132,1,2,2,2,1,1,1,1,5,570113,0.077881284058094,1,1,1,1,1,"1"
5701162,2,2,2,1,1,1,2,1,5,570116,0.00909856520593166,1,1,1,1,1,"1"
5701191,2,2,2,1,1,1,1,1,5,570119,0.0175232887268066,1,1,1,1,1,"1"
5701192,2,2,1,1,1,1,1,1,5,570119,0.0292054805904627,1,1,1,1,1,"1"
5701233,1,1,2,3,1,1,3,1,5,570123,0.0120088802650571,2,1,1,2,1,"4"
5801022,2,2,2,1,1,1,1,1,2,580102,0.515897214412689,1,1,1,1,1,"1"
5801023,2,2,2,1,1,1,1,1,2,580102,0.291678249835968,1,1,1,1,1,"1"
5801032,1,1,1,1,1,1,3,1,2,580103,0.838492095470428,1,1,1,2,1,"3"
5801035,2,2,2,1,1,1,1,1,2,580103,1.13754498958588,1,1,1,1,1,"1"
5801042,2,2,1,1,1,1,1,1,2,580104,0.729195535182953,1,1,1,1,1,"1"
5801043,1,1,2,1,1,1,1,1,2,580104,1.70145630836487,1,1,1,1,1,"3"
5801051,2,2,1,2,1,1,1,1,2,580105,0.388904333114624,1,1,1,1,1,"1"
5801062,1,2,1,1,1,1,1,1,2,580106,0.596147894859314,1,1,1,1,1,"1"
5801065,2,2,2,1,1,1,1,1,2,580106,1.78844368457794,1,1,1,1,1,"1"
5801081,2,2,1,1,1,1,1,1,2,580108,0.29167827963829,1,1,1,1,1,"1"
5801082,1,1,1,1,3,2,1,1,2,580108,1.28974306583405,1,2,1,1,1,"3"
5801094,2,2,1,1,1,1,1,1,2,580109,0.194452166557312,1,1,1,1,1,"1"
5801096,2,2,1,1,1,1,1,1,2,580109,0.194452166557312,1,1,1,1,1,"1"
5801102,2,2,1,1,1,1,1,1,2,580110,0.682702720165253,1,1,1,1,1,"1"
5801104,2,2,2,1,1,1,1,1,2,580110,0.195057928562164,1,1,1,1,1,"1"
5801106,2,1,1,1,1,1,1,1,2,580110,0.195057928562164,1,1,1,1,1,"3"
5801111,1,2,1,1,1,1,1,1,2,580111,0.259269565343857,1,1,1,1,1,"1"
5801114,2,1,1,1,1,1,1,1,2,580111,0.648173868656158,1,1,1,1,1,"3"
5801131,2,2,1,1,1,1,1,1,2,580113,0.343931496143341,1,1,1,1,1,"1"
5801143,1,2,2,1,1,1,1,1,2,580114,1.01115119457245,1,1,1,1,1,"1"
5801154,1,2,1,3,1,1,1,1,2,580115,0.388904333114624,2,1,1,1,1,"1"
5801155,2,2,1,3,1,3,1,1,2,580115,0.259269565343857,2,1,2,1,1,"4"
5804011,1,1,2,1,1,1,1,3,2,580401,0.758363425731659,1,1,1,1,2,"3"
5804014,2,2,2,1,1,1,1,1,2,580401,0.505575656890869,1,1,1,1,1,"1"
5804015,2,2,2,1,1,1,1,1,2,580401,1.26393902301788,1,1,1,1,1,"1"
5804017,2,2,2,1,1,1,1,1,2,580401,0.505575656890869,1,1,1,1,1,"1"
5804021,2,2,1,1,1,1,1,1,2,580402,0.842625916004181,1,1,1,1,1,"1"
5804023,2,1,1,1,1,1,1,1,2,580402,1.2639387845993,1,1,1,1,1,"3"
5804025,2,2,2,1,1,1,1,1,2,580402,2.10656476020813,1,1,1,1,1,"1"
5804031,1,1,1,1,1,1,2,3,2,580403,5.3653302192688,1,1,1,1,2,"3"
5804056,2,2,2,1,1,1,3,1,2,580405,2.68266534805298,1,1,1,2,1,"4"
5804062,2,1,1,1,1,1,1,1,2,580406,0.42131295800209,1,1,1,1,1,"3"
5804063,2,1,1,1,1,1,1,1,2,580406,2.10656476020813,1,1,1,1,1,"3"
5804065,2,2,1,1,1,1,1,1,2,580406,1.49036955833435,1,1,1,1,1,"1"
5804073,2,2,2,3,1,1,3,2,2,580407,2.02230262756348,2,1,1,2,1,"4"
5804077,2,1,2,1,1,1,1,1,2,580407,1.51672685146332,1,1,1,1,1,"3"
5804083,2,2,2,1,1,1,1,1,2,580408,1.49036955833435,1,1,1,1,1,"1"
5804091,2,2,2,1,1,1,1,1,2,580409,0.894221782684326,1,1,1,1,1,"1"
5804093,2,2,2,1,1,1,1,2,2,580409,1.01115119457245,1,1,1,1,1,"1"
5804101,1,1,2,1,1,1,1,1,2,580410,0.252787798643112,1,1,1,1,1,"3"
5804102,2,2,2,1,1,1,1,1,2,580410,1.01115119457245,1,1,1,1,1,"1"
5804104,2,1,2,1,1,3,1,1,2,580410,1.3413325548172,1,1,2,1,1,"4"
5804105,1,1,1,1,1,1,1,1,2,580410,1.01115119457245,1,1,1,1,1,"3"
5804111,2,2,2,1,1,1,1,1,2,580411,1.13754498958588,1,1,1,1,1,"1"
5804112,2,1,1,1,1,1,1,1,2,580411,0.379181653261185,1,1,1,1,1,"3"
5804124,1,2,1,1,3,1,1,1,2,580412,1.51672685146332,1,2,1,1,1,"1"
5804125,2,2,1,1,1,1,1,1,2,580412,0.894221842288971,1,1,1,1,1,"1"
6101013,2,2,2,1,1,1,1,1,4,610101,1.51190876960754,1,1,1,1,1,"1"
6101014,2,1,2,1,1,1,1,1,4,610101,0.755954384803772,1,1,1,1,1,"3"
6101017,2,2,2,1,1,1,4,3,4,610101,4.82643461227417,1,1,1,2,2,"4"
6101023,2,2,1,1,1,1,1,1,4,610102,3.02381706237793,1,1,1,1,1,"1"
6101035,2,2,1,1,1,1,1,1,4,610103,1.13393151760101,1,1,1,1,1,"1"
6101051,1,2,1,1,1,1,1,1,4,610105,3.61982607841492,1,1,1,1,1,"1"
6101052,1,1,2,1,1,1,3,1,4,610105,5.42973899841309,1,1,1,2,1,"3"
6101062,1,1,1,1,1,1,1,1,4,610106,1.35743463039398,1,1,1,1,1,"3"
6101064,2,2,2,1,1,1,1,1,4,610106,0.850448548793793,1,1,1,1,1,"1"
6101081,2,2,2,1,1,1,4,1,4,610108,9.65286922454834,1,1,1,2,1,"4"
6101094,1,2,2,1,1,1,1,1,4,610109,4.82643461227417,1,1,1,1,1,"1"
6101105,2,2,2,3,1,3,3,1,4,610110,9.20926380157471,2,1,2,2,1,"4"
6101112,1,1,2,1,2,1,3,3,4,610111,2.26786303520203,1,1,1,2,2,"4"
6101113,1,1,2,1,1,1,3,1,4,610111,3.02381706237793,1,1,1,2,1,"3"
6101115,2,1,1,1,1,1,1,1,4,610111,1.51190853118896,1,1,1,1,1,"3"
6101133,2,2,2,1,1,1,1,1,4,610113,4.53572607040405,1,1,1,1,1,"1"
6101152,1,1,1,1,1,1,1,1,4,610115,2.26786303520203,1,1,1,1,1,"3"
6101154,2,2,2,1,1,1,1,1,4,610115,3.61982607841492,1,1,1,1,1,"1"
6101171,2,2,2,2,1,1,1,1,4,610117,3.53848171234131,1,1,1,1,1,"1"
6101194,2,2,2,1,1,1,1,1,4,610119,6.033043384552,1,1,1,1,1,"1"
6105032,2,2,1,1,1,1,1,1,6,610503,0.0734810382127762,1,1,1,1,1,"1"
6105033,2,1,2,1,1,1,1,1,6,610503,0.0368293784558773,1,1,1,1,1,"3"
6105042,1,2,2,1,1,1,1,1,6,610504,0.19642336666584,1,1,1,1,1,"1"
6105044,2,2,2,1,1,1,1,1,6,610504,0.294635027647018,1,1,1,1,1,"1"
6105071,1,1,1,1,1,1,2,1,6,610507,0.0491058491170406,1,1,1,1,1,"3"
