"idencuesta","c11_w01","c11_w03","c43_w05","c08_02_w01","c08_02_w02","c08_02_w03","c08_02_w04","c08_02_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_4"
3301062,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301073,2,2,2,1,1,1,5,3,1,1,1,2,2,"1"
3301093,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301102,2,2,2,5,5,3,1,4,2,2,2,1,2,"2"
3301103,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301111,1,2,2,1,1,1,3,1,1,1,1,2,1,"1"
3301122,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301143,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
3301162,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301173,1,2,2,3,1,1,2,1,2,1,1,1,1,"1"
3301191,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301202,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
3301212,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
3301221,1,1,1,1,1,1,3,1,1,1,1,2,1,"3"
3301232,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301233,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301241,2,2,2,1,2,1,2,1,1,1,1,1,1,"4"
3301252,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301253,2,1,2,1,1,2,1,1,1,1,1,1,1,"3"
4101021,2,2,2,1,1,1,3,1,1,1,1,2,1,"1"
4101023,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4101032,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
4101034,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4101042,2,2,1,1,1,1,3,1,1,1,1,2,1,"1"
4101044,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
4101053,1,1,2,1,1,1,1,2,1,1,1,1,1,"3"
4101054,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4101055,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4101057,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
4101065,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4101071,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
4101111,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
4101113,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4101133,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
4101134,2,2,2,1,2,1,1,1,1,1,1,1,1,"4"
4101135,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
4101141,1,2,2,1,1,1,2,1,1,1,1,1,1,"4"
4101143,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4102051,2,2,2,1,1,3,2,1,1,1,2,1,1,"4"
4102052,2,2,2,1,1,3,1,2,1,1,2,1,1,"4"
4102055,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
4102065,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4102082,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4102083,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4102091,1,1,2,2,2,1,3,1,1,1,1,2,1,"3"
4102102,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4102121,2,2,2,3,2,2,3,1,2,1,1,2,1,"1"
4106011,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
4106022,1,2,2,1,1,1,2,1,1,1,1,1,1,"4"
4106023,1,1,2,2,1,1,1,1,1,1,1,1,1,"3"
4106025,2,2,2,2,1,1,3,1,1,1,1,2,1,"1"
4106032,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4106053,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4106062,2,1,2,3,1,1,1,1,2,1,1,1,1,"1"
4106063,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4106065,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
4106071,2,1,2,3,1,1,2,2,2,1,1,1,1,"1"
4106083,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
4106094,2,2,2,3,3,2,4,1,2,2,1,2,1,"1"
4106103,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
4106111,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4106112,2,2,2,3,1,1,3,1,2,1,1,2,1,"1"
4106113,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
4204011,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4204021,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4204023,2,1,2,3,1,1,1,2,2,1,1,1,1,"1"
4204031,2,2,2,1,2,1,1,2,1,1,1,1,1,"4"
4204042,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4204052,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4204063,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
